stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PH147,,PH147-Parada 1 / Paradero 13 Santa Rosa,-33.510753,-70.637848,,0
PH148,,PH148-Parada 1 / Paradero 14 Santa Rosa,-33.513748,-70.637243,,0
PH149,,PH149-Parada 1 / Paradero 16 Santa Rosa,-33.517738,-70.636794,,0
PG90,,PG90-Parada 3 / Paradero 18 Santa Rosa,-33.522327,-70.636325,,0
PG91,,PG91-Parada 1 / Paradero 19 Santa Rosa,-33.525976,-70.635905,,0
PG92,,PG92-Parada 1 / Paradero 21 Santa Rosa,-33.529891,-70.635347,,0
PG93,,PG93-Parada 1 / Paradero 22 Santa Rosa,-33.533671,-70.634765,,0
PG94,,PG94-Parada 1 / Paradero 23 Santa Rosa,-33.538527,-70.634489,,0
PG116,,PG116-Parada 8 / (M) Santa Rosa,-33.541851,-70.634242,,0
PG254,,PG254-Parada 1 / Paradero 26 Santa Rosa,-33.545905,-70.633652,,0
PE1294,,PE1294-Parada 3 / Paradero 28 Santa Rosa,-33.550204,-70.632812,,0
PG97,,PG97-Parada 3 / Hospital Padre Hurtado,-33.553421,-70.632113,,0
PG1611,,PG1611-Parada 5 / Paradero 30 Santa Rosa,-33.557812,-70.631264,,0
PG1617,,PG1617-Parada 6 / Santo Tomás - Santa Rosa,-33.560381,-70.630757,,0
PG1464,,PG1464-Violeta Parra / Esq. El Bosque,-33.561082,-70.634235,,0
PG100,,PG100-Violeta Parra / Esq. P. Aguirre Cerda,-33.560921,-70.637961,,0
PG101,,PG101-Violeta Parra / Esq. Santa Pilar,-33.560819,-70.640345,,0
PG102,,PG102-Violeta Parra / Esq. Los Almendros,-33.560534,-70.644191,,0
PG103,,PG103-Violeta Parra / Esq. A. Latorre,-33.560395,-70.646150,,0
PG1129,,PG1129-Violeta Parra / Esq. Av. La Bandera,-33.560293,-70.648089,,0
PG1130,,PG1130-Violeta Parra / Esq. Isabel De Hungría,-33.560180,-70.650200,,0
PG1131,,PG1131-Violeta Parra / Esq. San Manuel,-33.559971,-70.652767,,0
PG1132,,PG1132-Violeta Parra / Esq. Av. San Francisco,-33.559748,-70.655857,,0
PG301,,PG301-Av. San Francisco / Esq. Los Peucos,-33.561833,-70.656787,,0
PG1267,,PG1267-Av. Observatorio / Esq. Las Araucarias,-33.562132,-70.658273,,0
PG1268,,PG1268-Av. Observatorio / Esq. Julio Covarrubias,-33.561542,-70.661977,,0
PG1269,,PG1269-Av. Observatorio / Esq. Los Avellanos,-33.561173,-70.664256,,0
PG1673,,PG1673-Los Raulíes / Esq. Antonio Varas,-33.562834,-70.665646,,0
PG572,,PG572-Los Raulíes / Esq. Santa Elena,-33.565406,-70.666260,,0
PG573,,PG573-Los Raulíes / Esq. El Conquistador,-33.567198,-70.666717,,0
PG574,,PG574-Los Raulíes / Esq. El Libertador,-33.569711,-70.667401,,0
PG575,,PG575-Los Raulíes / Esq. Lo Martínez,-33.572211,-70.668052,,0
PG576,,PG576-Parada / Cesfam Haydée López,-33.572574,-70.667060,,0
PG577,,PG577-Lo Martínez / Esq. Los Minbres,-33.572969,-70.664871,,0
PG578,,PG578-Lo Martínez / Esq. San Francisco,-33.573751,-70.660396,,0
PG150,,PG150-Av. San Francisco / Esq. General Carvajal,-33.575571,-70.660717,,0
PG151,,PG151-Av. San Francisco / Esq. San Clemente,-33.578006,-70.661365,,0
PG152,,PG152-Av. San Francisco / Esq. Sargento Rebolledo,-33.579947,-70.661902,,0
PG153,,PG153-Av. San Francisco / Esq. Vecinar Sur,-33.581905,-70.662434,,0
PG1761,,PG1761-Av. San Francisco / Esq. Las Parcelas,-33.583470,-70.662856,,0
PG1757,,PG1757-Avenida Lo Blanco / Esq. V. Pérez Rosales,-33.585258,-70.662659,,0
PG1756,,PG1756-Avenida Lo Blanco / Esq. Tte. L. Cruz Martínez,-33.585488,-70.660968,,0
PG1779,,PG1779-Tucapel / Esq. Av. San Francisco,-33.586992,-70.663533,,0
PG950,,PG950-Av. San Francisco / Esq. Avenida Lo Blanco,-33.585441,-70.663298,,0
