Comuna;TOTAL
SANTIAGO;6
SANTIAGO;22
SANTIAGO;0
SANTIAGO;73
SANTIAGO;2
SANTIAGO;0
SANTIAGO;41
SANTIAGO;53
SANTIAGO;6
SANTIAGO;350
SANTIAGO;150
SANTIAGO;3
SANTIAGO;4
SANTIAGO;0
SANTIAGO;0
SANTIAGO;21
SANTIAGO;21
SANTIAGO;55
SANTIAGO;17
SANTIAGO;29
SANTIAGO;1
SANTIAGO;64
SANTIAGO;98
SANTIAGO;115
SANTIAGO;4
SANTIAGO;240
SANTIAGO;48
SANTIAGO;199
SANTIAGO;177
SANTIAGO;0
SANTIAGO;61
SANTIAGO;4
SANTIAGO;0
SANTIAGO;35
SANTIAGO;2
SANTIAGO;39
SANTIAGO;8
SANTIAGO;100
SANTIAGO;8
SANTIAGO;127
SANTIAGO;12
SANTIAGO;2
SANTIAGO;53
SANTIAGO;58
SANTIAGO;9
SANTIAGO;4
SANTIAGO;4
SANTIAGO;13
SANTIAGO;196
SANTIAGO;225
SANTIAGO;28
SANTIAGO;66
SANTIAGO;4
SANTIAGO;3
SANTIAGO;0
SANTIAGO;75
SANTIAGO;2
SANTIAGO;14
SANTIAGO;33
SANTIAGO;1
SANTIAGO;136
SANTIAGO;61
SANTIAGO;105
SANTIAGO;10
SANTIAGO;6
SANTIAGO;160
SANTIAGO;85
SANTIAGO;129
SANTIAGO;146
SANTIAGO;30
SANTIAGO;8
SANTIAGO;109
SANTIAGO;20
SANTIAGO;116
SANTIAGO;22
SANTIAGO;8
SANTIAGO;30
SANTIAGO;14
SANTIAGO;0
SANTIAGO;152
SANTIAGO;58
SANTIAGO;94
SANTIAGO;67
SANTIAGO;63
SANTIAGO;0
SANTIAGO;99
SANTIAGO;12
SANTIAGO;39
SANTIAGO;2
SANTIAGO;1
SANTIAGO;11
SANTIAGO;6
SANTIAGO;9
SANTIAGO;8
SANTIAGO;13
SANTIAGO;60
SANTIAGO;4
SANTIAGO;5
SANTIAGO;1
SANTIAGO;1
SANTIAGO;19
SANTIAGO;4
SANTIAGO;63
SANTIAGO;162
SANTIAGO;20
SANTIAGO;66
SANTIAGO;8
SANTIAGO;59
SANTIAGO;26
SANTIAGO;44
SANTIAGO;13
SANTIAGO;10
